country_en,country_ru,lang_en,lang_ru
Republic of Austria,Австрийская Республика,Austro-Bavarian German,баварский
Republic of Azerbaijan,Азербайджанская Республика,Azerbaijani,азербайджанский
Republic of Azerbaijan,Азербайджанская Республика,Russian,русский
Åland Islands,Аландские острова,Swedish,шведский
American Samoa,американское Самоа,English,английский
American Samoa,американское Самоа,Samoan,самоанский
Anguilla,Ангилья,English,английский
Antigua and Barbuda,Антигуа и Барбуда,English,английский
Arab Republic of Egypt,Арабская Республика Египет,Arabic,арабский
Argentine Republic,Аргентинская Республика,Guaraní,гуарани
Argentine Republic,Аргентинская Республика,Spanish,испанский
Aruba,Аруба,Dutch,нидерландский
Aruba,Аруба,Papiamento,папьяменто
Barbados,Барбадос,English,английский
Belize,Белиз,Belizean Creole,белизское наречие
Belize,Белиз,English,английский
Belize,Белиз,Spanish,испанский
Bermuda,Бермудские острова,English,английский
Bolivarian Republic of Venezuela,Боливарианская Республика Венесуэла,Spanish,испанский
Most Serene Republic of San Marino,Большинство Serene Республика Сан-Марино,Italian,итальянский
Bosnia and Herzegovina,Босния и Герцеговина,Bosnian,боснийский
Bosnia and Herzegovina,Босния и Герцеговина,Croatian,хорватский
Bosnia and Herzegovina,Босния и Герцеговина,Serbian,сербский
British Indian Ocean Territory,Британская территория Индийского океана,English,английский
Burkina Faso,Буркина -Фасо,French,французский
Grand Duchy of Luxembourg,Великое Герцогство Люксембург,French,французский
Grand Duchy of Luxembourg,Великое Герцогство Люксембург,German,немецкий
Grand Duchy of Luxembourg,Великое Герцогство Люксембург,Luxembourgish,люксембургский
Hungary,Венгрия,Hungarian,венгерский
Virgin Islands,Виргинские острова,English,английский
Virgin Islands of the United States,Виргинские острова Соединенных Штатов,English,английский
United States Minor Outlying Islands,Внешние малые острова США,English,английский
Oriental Republic of Uruguay,Восточной Республики Уругвай,Spanish,испанский
Gabonese Republic,Габона Республика,French,французский
Guadeloupe,Гваделупа,French,французский
Guiana,Гвиана,French,французский
Gibraltar,Гибралтар,English,английский
Vatican City State,Город-государство Ватикан,Italian,итальянский
Vatican City State,Город-государство Ватикан,Latin,латинский
State of Israel,Государство Израиль,Arabic,арабский
State of Israel,Государство Израиль,Hebrew,иврит
State of Qatar,Государство Катар,Arabic,арабский
State of Kuwait,Государство Кувейт,Arabic,арабский
State of Libya,Государство Ливии,Arabic,арабский
State of Palestine,Государство Палестина,Arabic,арабский
State of Eritrea,Государство Эритрея,Arabic,арабский
State of Eritrea,Государство Эритрея,English,английский
State of Eritrea,Государство Эритрея,Tigrinya,тигринья
Grenada,Гренада,English,английский
Greenland,Гренландия,Greenlandic,гренландский
Hellenic Republic,Греческая Республика,Greek,греческий
Georgia,Грузия,Georgian,грузинский
Guam,Гуам,Chamorro,чаморро
Guam,Гуам,English,английский
Guam,Гуам,Spanish,испанский
Democratic Republic of the Congo,Демократическая Республика Конго,French,французский
Democratic Republic of the Congo,Демократическая Республика Конго,Kikongo,конго
Democratic Republic of the Congo,Демократическая Республика Конго,Lingala,лингала
Democratic Republic of the Congo,Демократическая Республика Конго,Swahili,суахили
Democratic Republic of the Congo,Демократическая Республика Конго,Tshiluba,луба
Democratic Republic of São Tomé and Príncipe,Демократическая Республика Сан-Томе и Принсипи,Portuguese,португальский
Democratic Republic of Timor-Leste,Демократическая Республика Тимор -Лешти,Portuguese,португальский
Democratic Republic of Timor-Leste,Демократическая Республика Тимор -Лешти,Tetum,тетум
Democratic Socialist Republic of Sri Lanka,Демократическая Социалистическая Республика Шри-Ланка,Sinhala,сингальский
Democratic Socialist Republic of Sri Lanka,Демократическая Социалистическая Республика Шри-Ланка,Tamil,тамильский
Department of Mayotte,Департамент Майотта,French,французский
Dominican Republic,Доминиканская Республика,Spanish,испанский
Hashemite Kingdom of Jordan,Иорданского Хашимитского Королевства,Arabic,арабский
Republic of Ireland,Ирландия,English,английский
Republic of Ireland,Ирландия,Irish,ирландский
Islamic Republic of Afghanistan,Исламская Республика Афганистан,Dari,дари
Islamic Republic of Afghanistan,Исламская Республика Афганистан,Pashto,пушту
Islamic Republic of Afghanistan,Исламская Республика Афганистан,Turkmen,туркменский
Islamic Republic of Iran,Исламская Республика Иран,Persian,персидский
Islamic Republic of Mauritania,Исламская Республика Мавритания,Arabic,арабский
Islamic Republic of Pakistan,Исламская Республика Пакистан,English,английский
Islamic Republic of Pakistan,Исламская Республика Пакистан,Urdu,урду
Iceland,Исландия,Icelandic,исландский
Italian Republic,итальянская Республика,Austro-Bavarian German,немецкий
Italian Republic,итальянская Республика,Italian,итальянский
Italian Republic,Итальянская Республика,Sardinian,сардинский
Republic of Yemen,Йеменская Республика,Arabic,арабский
Cayman Islands,Каймановы острова,English,английский
Canada,Канада,English,английский
Canada,Канада,French,французский
Republic of China (Taiwan),Китайская Республика,Chinese,китайский
Principality of Andorra,Княжество Андорра,Catalan,каталанский
Principality of Liechtenstein,Княжество Лихтенштейн,German,немецкий
Principality of Monaco,Княжество Монако,French,французский
Collectivity of Saint Barthélemy,Коллективность Санкт -Бартельми,French,французский
Co-operative Republic of Guyana,Кооперативная Республика Гайана,English,английский
Democratic People's Republic of Korea,Корейская Народно-Демократическая Республика Корея,Korean,корейский
Kingdom of Bahrain,Королевство Бахрейн,Arabic,арабский
Kingdom of Belgium,Королевство Бельгия,Dutch,нидерландский
Kingdom of Belgium,Королевство Бельгия,French,французский
Kingdom of Belgium,Королевство Бельгия,German,немецкий
Kingdom of Bhutan,Королевство Бутан,Dzongkha,дзонг-кэ
Kingdom of Denmark,Королевство Дания,Danish,датский
Kingdom of Spain,Королевство Испания,Basque,баскский
Kingdom of Spain,Королевство Испания,Catalan,каталанский
Kingdom of Spain,Королевство Испания,Galician,галисийский
Kingdom of Spain,Королевство Испания,Occitan,окситанский
Kingdom of Spain,Королевство Испания,Spanish,испанский
Kingdom of Cambodia,Королевство Камбоджа,Khmer,кхмерский
Kingdom of Lesotho,Королевство Лесото,English,английский
Kingdom of Lesotho,Королевство Лесото,Sotho,сото
Kingdom of Morocco,Королевство Марокко,Arabic,арабский
Kingdom of Morocco,Королевство Марокко,Berber,берберский
Kingdom of Norway,Королевство Норвегия,Norwegian Bokmål,букмол
Kingdom of Norway,Королевство Норвегия,Norwegian Nynorsk,новонорвежский
Kingdom of Norway,Королевство Норвегия,Sami,саамские
Kingdom of Saudi Arabia,Королевство Саудовская Аравия,Arabic,арабский
Kingdom of Swaziland,Королевство Свазиленд,English,английский
Kingdom of Swaziland,Королевство Свазиленд,Swazi,свати
Kingdom of Thailand,Королевство Таиланд,Thai,тайский
Kingdom of Tonga,Королевство Тонга,English,английский
Kingdom of Tonga,Королевство Тонга,Tongan,тонганский
Kingdom of Sweden,Королевство Швеция,Swedish,шведский
Bailiwick of Guernsey,Коронное владение Гернси,English,английский
Bailiwick of Guernsey,Коронное владение Гернси,French,французский
Bailiwick of Guernsey,Коронное владение Гернси,Guernésiais,гернсийский
Bailiwick of Jersey,Коронное владение Джерси,English,английский
Bailiwick of Jersey,Коронное владение Джерси,French,французский
Bailiwick of Jersey,Коронное владение Джерси,Jèrriais,джерсийский диалект нормандского языка
Kyrgyz Republic,Кыргызская Республика,Kyrgyz,киргизский
Kyrgyz Republic,Кыргызская Республика,Russian,русский
Lao People's Democratic Republic,Лаосская Народно-Демократическая Республика,Lao,лаосский
Republic of Latvia,Латвийская Республика,Latvian,латышский
Lebanese Republic,Ливанская Республика,Arabic,арабский
Lebanese Republic,Ливанская Республика,French,французский
Republic of Lithuania,Литовская Республика,Lithuanian,литовский
Malaysia,Малайзия,English,английский
Malaysia,Малайзия,Malay,малайский
Martinique,Мартиника,French,французский
United Mexican States,Мексиканские Соединённые Штаты,Spanish,испанский
Plurinational State of Bolivia,Многонациональное Государство Боливия,Aymara,аймара
Plurinational State of Bolivia,Многонациональное Государство Боливия,Guaraní,гуарани
Plurinational State of Bolivia,Многонациональное Государство Боливия,Quechua,кечуа
Plurinational State of Bolivia,Многонациональное Государство Боливия,Spanish,испанский
Republic of Moldova,Молдова,Moldavian,молдавский
Mongolia,Монголия,Mongolian,монгольский
Montserrat,Монтсеррат,English,английский
People's Republic of Bangladesh,Народная Республика Бангладеш,Bengali,бенгальский
People's Republic of China,Народная Республика Китай,Chinese,китайский
People's Democratic Republic of Algeria,Народно-Демократическая Республика Алжир,Arabic,арабский
"Nation of Brunei, Abode of Peace","Нация Бруней, обитель мира",Malay,малайский
Independent State of Papua New Guinea,Независимое Государство Папуа-Новой Гвинеи,English,английский
Independent State of Papua New Guinea,Независимое Государство Папуа-Новой Гвинеи,Hiri Motu,хири-моту
Independent State of Papua New Guinea,Независимое Государство Папуа-Новой Гвинеи,Tok Pisin,ток-писин
Independent State of Samoa,Независимое Государство Самоа,English,английский
Independent State of Samoa,Независимое Государство Самоа,Samoan,самоанский
Independent and Sovereign Republic of Kiribati,Независимой и суверенной Республики Кирибати,English,английский
Independent and Sovereign Republic of Kiribati,Независимой и суверенной Республики Кирибати,Gilbertese,кирибати
Netherlands,Нидерланды,Dutch,нидерландский
Niue,Ниуэ,English,английский
Niue,Ниуэ,Niuean,ниуэ
New Zealand,Новая Зеландия,English,английский
New Zealand,Новая Зеландия,Māori,маори
New Zealand,Новая Зеландия,New Zealand Sign Language,новозеландский жестовый язык
New Caledonia,Новая Каледония,French,французский
United Republic of Tanzania,Объединенная Республика Танзания,English,английский
United Republic of Tanzania,Объединенная Республика Танзания,Swahili,суахили
United Arab Emirates,Объединенные Арабские Эмираты,Arabic,арабский
Bouvet Island,Остров Буве,Norwegian,норвежский
Isle of Man,Остров Мэн,English,английский
Isle of Man,Остров Мэн,Manx,мэнский
Heard Island and McDonald Islands,Остров Херд и острова Макдональд,English,английский
Cook Islands,острова Кука,Cook Islands Māori,кукский маори
Cook Islands,острова Кука,English,английский
Pitcairn Group of Islands,Питкэрн группа островов,English,английский
Portuguese Republic,Португальская Республика,Portuguese,португальский
Republic of Albania,Республика Албания,Albanian,албанский
Republic of Angola,Республика Ангола,Portuguese,португальский
Republic of Armenia,Республика Армения,Armenian,армянский
Republic of Armenia,Республика Армения,Russian,русский
Republic of Belarus,Республика Беларусь,Belarusian,белорусский
Republic of Belarus,Республика Беларусь,Russian,русский
Republic of Benin,Республика Бенин,French,французский
Republic of Bulgaria,Республика Болгария,Bulgarian,болгарский
Republic of Botswana,Республика Ботсвана,English,английский
Republic of Botswana,Республика Ботсвана,Tswana,тсвана
Republic of Burundi,Республика Бурунди,French,французский
Republic of Burundi,Республика Бурунди,Kirundi,рунди
Republic of Vanuatu,Республика Вануату,Bislama,бислама
Republic of Vanuatu,Республика Вануату,English,английский
Republic of Vanuatu,Республика Вануату,French,французский
Republic of Haiti,Республика Гаити,French,французский
Republic of Haiti,Республика Гаити,Haitian Creole,гаитянский креольский
Republic of the Gambia,Республика Гамбия,English,английский
Republic of Ghana,Республика Гана,English,английский
Republic of Guatemala,Республика Гватемала,Spanish,испанский
Republic of Guinea,Республика Гвинея,French,французский
Republic of Guinea-Bissau,Республика Гвинея -Бисау,Portuguese,португальский
Republic of Honduras,Республика Гондурас,Spanish,испанский
Republic of Djibouti,Республика Джибути,Arabic,арабский
Republic of Djibouti,Республика Джибути,French,французский
Republic of Zambia,Республика Замбия,English,английский
Republic of Zimbabwe,Республика Зимбабве,Chewa,чева
Republic of Zimbabwe,Республика Зимбабве,Chibarwe,чибарве
Republic of Zimbabwe,Республика Зимбабве,English,английский
Republic of Zimbabwe,Республика Зимбабве,Kalanga,каланга
Republic of Zimbabwe,Республика Зимбабве,Khoisan,койсанский
Republic of Zimbabwe,Республика Зимбабве,Ndau,ндау
Republic of Zimbabwe,Республика Зимбабве,Northern Ndebele,северный ндебеле
Republic of Zimbabwe,Республика Зимбабве,Shona,шона
Republic of Zimbabwe,Республика Зимбабве,Sotho,сото
Republic of Zimbabwe,Республика Зимбабве,Tonga,тонга
Republic of Zimbabwe,Республика Зимбабве,Tsonga,тсонга
Republic of Zimbabwe,Республика Зимбабве,Tswana,тсвана
Republic of Zimbabwe,Республика Зимбабве,Venda,венда
Republic of Zimbabwe,Республика Зимбабве,Xhosa,коса
Republic of Zimbabwe,Республика Зимбабве,Zimbabwean Sign Language,зимбабвийский жестовый язык
Republic of India,Республика Индия,English,английский
Republic of India,Республика Индия,Hindi,хинди
Republic of India,Республика Индия,Tamil,тамильский
Republic of Indonesia,Республика Индонезия,Indonesian,индонезийский
Republic of Iraq,Республика Ирак,Arabic,арабский
Republic of Iraq,Республика Ирак,Aramaic,арамейский
Republic of Iraq,Республика Ирак,Sorani,сорани
Republic of Cabo Verde,Республика Кабо -Верде,Portuguese,португальский
Republic of Kazakhstan,Республика Казахстан,Kazakh,казахский
Republic of Kazakhstan,Республика Казахстан,Russian,русский
Republic of Cameroon,Республика Камерун,English,английский
Republic of Cameroon,Республика Камерун,French,французский
Republic of Kenya,Республика Кения,English,английский
Republic of Kenya,Республика Кения,Swahili,суахили
Republic of Cyprus,Республика Кипр,Greek,греческий
Republic of Cyprus,Республика Кипр,Turkish,турецкий
Republic of Colombia,Республика Колумбия,Spanish,испанский
Republic of the Congo,Республика Конго,French,французский
Republic of the Congo,Республика Конго,Kikongo,конго
Republic of the Congo,Республика Конго,Lingala,лингала
Republic of Korea,Республика Корея,Korean,корейский
Republic of Kosovo,Республика Косово,Albanian,албанский
Republic of Kosovo,Республика Косово,Serbian,сербский
Republic of Costa Rica,Республика Коста-Рика,Spanish,испанский
Republic of Côte d'Ivoire,Республика Кот-д'Ивуаре,French,французский
Republic of Cuba,Республика Куба,Spanish,испанский
Republic of Liberia,Республика Либерия,English,английский
Republic of Mauritius,Республика Маврикий,English,английский
Republic of Mauritius,Республика Маврикий,French,французский
Republic of Mauritius,Республика Маврикий,Mauritian Creole,маврикийский креольский
Republic of Madagascar,Республика Мадагаскар,French,французский
Republic of Madagascar,Республика Мадагаскар,Malagasy,малагасийский
Republic of Macedonia,Республика Македония,Macedonian,македонский
Republic of Malawi,Республика Малави,Chewa,чева
Republic of Malawi,Республика Малави,English,английский
Republic of Mali,Республика Мали,French,французский
Republic of the Maldives,Республика Мальдивы,Maldivian,мальдивский
Republic of Malta,Республика Мальта,English,английский
Republic of Malta,Республика Мальта,Maltese,мальтийский
Republic of the Marshall Islands,Республика Маршалловы острова,English,английский
Republic of the Marshall Islands,Республика Маршалловы острова,Marshallese,маршалльский
Republic of Mozambique,Республика Мозамбик,Portuguese,португальский
Republic of Namibia,Республика Намибия,Afrikaans,африкаанс
Republic of Namibia,Республика Намибия,English,английский
Republic of Namibia,Республика Намибия,German,немецкий
Republic of Namibia,Республика Намибия,Herero,гереро
Republic of Namibia,Республика Намибия,Khoekhoe,нама
Republic of Namibia,Республика Намибия,Kwangali,каванго
Republic of Namibia,Республика Намибия,Lozi,лози
Republic of Namibia,Республика Намибия,Ndonga,ндонга
Republic of Namibia,Республика Намибия,Tswana,тсвана
Republic of Nauru,Республика Науру,English,английский
Republic of Nauru,Республика Науру,Nauru,науруанский
Republic of Niger,Республика Нигер,French,французский
Republic of Nicaragua,Республика Никарагуа,Spanish,испанский
Republic of Palau,Республика Палау,English,английский
Republic of Palau,Республика Палау,Palauan,палауский
Republic of Panama,Республика Панама,Spanish,испанский
Republic of Paraguay,Республика Парагвай,Guaraní,гуарани
Republic of Paraguay,Республика Парагвай,Spanish,испанский
Republic of Peru,Республика Перу,Aymara,аймара
Republic of Peru,Республика Перу,Quechua,кечуа
Republic of Peru,Республика Перу,Spanish,испанский
Republic of Poland,Республика Польша,Polish,польский
Republic of Rwanda,Республика Руанда,English,английский
Republic of Rwanda,Республика Руанда,French,французский
Republic of Rwanda,Республика Руанда,Kinyarwanda,руанда
Republic of Seychelles,Республика Сейшельские Острова,English,английский
Republic of Seychelles,Республика Сейшельские Острова,French,французский
Republic of Seychelles,Республика Сейшельские Острова,Seychellois Creole,сейшельский креольский
Republic of Senegal,Республика Сенегал,French,французский
Republic of Serbia,Республика Сербия,Serbian,сербский
Republic of Singapore,Республика Сингапур,Chinese,китайский
Republic of Singapore,Республика Сингапур,English,английский
Republic of Singapore,Республика Сингапур,Malay,малайский
Republic of Singapore,Республика Сингапур,Tamil,тамильский
Republic of Slovenia,Республика Словения,Slovene,словенский
Republic of the Union of Myanmar,Республика Союза Мьянма,Burmese,бирманский
Republic of the Sudan,Республика Судан,Arabic,арабский
Republic of the Sudan,Республика Судан,English,английский
Republic of Suriname,Республика Суринам,Dutch,нидерландский
Republic of Sierra Leone,Республика Сьерра-Леоне,English,английский
Republic of Tajikistan,Республика Таджикистан,Russian,русский
Republic of Tajikistan,Республика Таджикистан,Tajik,таджикский
Republic of Trinidad and Tobago,Республика Тринидад и Тобаго,English,английский
Republic of Turkey,Республика Турции,Turkish,турецкий
Republic of Uganda,Республика Уганда,English,английский
Republic of Uganda,Республика Уганда,Swahili,суахили
Republic of Uzbekistan,Республика Узбекистан,Russian,русский
Republic of Uzbekistan,Республика Узбекистан,Uzbek,узбекский
Republic of Fiji,Республика Фиджи,English,английский
Republic of Fiji,Республика Фиджи,Fiji Hindi,фарерский
Republic of Fiji,Республика Фиджи,Fijian,фиджийский
Republic of the Philippines,Республика Филиппины,English,английский
Republic of the Philippines,Республика Филиппины,Filipino,филиппинский
Republic of Croatia,Республика Хорватия,Croatian,хорватский
Republic of Chad,Республика Чад,Arabic,арабский
Republic of Chad,Республика Чад,French,французский
Republic of Chile,Республика Чили,Spanish,испанский
Republic of Ecuador,Республика Эквадор,Spanish,испанский
Republic of Equatorial Guinea,Республика Экваториальная Гвинея,French,французский
Republic of Equatorial Guinea,Республика Экваториальная Гвинея,Portuguese,португальский
Republic of Equatorial Guinea,Республика Экваториальная Гвинея,Spanish,испанский
Republic of El Salvador,Республика Эль-Сальвадор,Spanish,испанский
Republic of South Sudan,Республика Южный Судан,English,английский
Réunion Island,Реюньон,French,французский
Russian Federation,Российская Федерация,Russian,русский
Romania,Румыния,Romanian,румынский
Svalbard og Jan Mayen,Свальбарда ог Ян-Майен,Norwegian,норвежский
Saint Martin,Сен-Мартен,French,французский
Saint Pierre and Miquelon,Сен-Пьер и Микелон,French,французский
Saint Vincent and the Grenadines,Сент-Винсент и Гренадины,English,английский
Saint Lucia,Сент-Люсия,English,английский
Sint Maarten,Синт-Маартен,Dutch,нидерландский
Sint Maarten,Синт-Маартен,English,английский
Sint Maarten,Синт-Маартен,French,французский
Syrian Arab Republic,Сирийская Арабская Республика,Arabic,арабский
Slovak Republic,Словацкая Республика,Slovak,словакский
Commonwealth of Australia,Содружество Австралии,English,английский
Commonwealth of the Bahamas,Содружество Багамских Островов,English,английский
Commonwealth of Dominica,Содружество Доминики,English,английский
Commonwealth of Puerto Rico,Содружество Пуэрто-Рико,English,английский
Commonwealth of Puerto Rico,Содружество Пуэрто-Рико,Spanish,испанский
Commonwealth of the Northern Mariana Islands,Содружество Северных Марианских островов,Carolinian,каролинский
Commonwealth of the Northern Mariana Islands,Содружество Северных Марианских островов,Chamorro,чаморро
Commonwealth of the Northern Mariana Islands,Содружество Северных Марианских островов,English,английский
United Kingdom of Great Britain and Northern Ireland,Соединенное Королевство Великобритании и Северной Ирландии,English,английский
United States of America,Соединенные Штаты Америки,English,английский
Solomon Islands,Соломоновы острова,English,английский
Socialist Republic of Vietnam,Социалистическая Республика Вьетнам,Vietnamese,вьетнамский
Union of the Comoros,Союз Коморских Островов,Arabic,арабский
Union of the Comoros,Союз Коморских Островов,Comorian,коморский
Union of the Comoros,Союз Коморских Островов,French,французский
Macao Special Administrative Region of the People's Republic of China,Специальный административный район Макао Китайской Народной Республики Китай,Chinese,китайский
Macao Special Administrative Region of the People's Republic of China,Специальный административный район Макао Китайской Народной Республики Китай,Portuguese,португальский
Country of Curaçao,Страна Кюрасао,Dutch,нидерландский
Country of Curaçao,Страна Кюрасао,English,английский
Country of Curaçao,Страна Кюрасао,Papiamento,папьяменто
Sultanate of Oman,Султанат Оман,Arabic,арабский
Turks and Caicos Islands,Теркс и Кайкос острова,English,английский
Territory of the Cocos (Keeling) Islands,Территория Кокосовые (Килинг) острова,English,английский
Territory of Norfolk Island,Территория острова Норфолк,English,английский
Territory of Norfolk Island,Территория острова Норфолк,Norfuk,норфолкский
Territory of Christmas Island,Территория острова Рождества,English,английский
Territory of the Wallis and Futuna Islands,Территория Уоллис и Футуна острова,French,французский
Territory of the French Southern and Antarctic Lands,Территория Французские Южные и Антарктические земли,French,французский
Togolese Republic,Того Республика,French,французский
Tokelau,Токелау,English,английский
Tokelau,Токелау,Samoan,самоанский
Tokelau,Токелау,Tokelauan,токелау
Tuvalu,Тувалу,English,английский
Tuvalu,Тувалу,Tuvaluan,тувалу
Tunisian Republic,Тунисской Республики,Arabic,арабский
Turkmenistan,Туркменистан,Russian,русский
Turkmenistan,Туркменистан,Turkmen,туркменский
Ukraine,Украина,Ukrainian,украинский
Faroe Islands,Фарерские острова,Danish,датский
Faroe Islands,Фарерские острова,Faroese,фарерский
Federal Democratic Republic of Nepal,Федеративная Демократическая Республика Непал,Nepali,непальский
Federal Democratic Republic of Ethiopia,Федеративная Демократическая Республика Эфиопия,Amharic,амхарский
Federative Republic of Brazil,Федеративная Республика Бразилия,Portuguese,португальский
Federal Republic of Germany,Федеративная Республика Германия,German,немецкий
Federal Republic of Nigeria,Федеративная Республика Нигерия,English,английский
Federal Republic of Somalia,Федеративная Республика Сомали,Arabic,арабский
Federal Republic of Somalia,Федеративная Республика Сомали,Somali,сомали
Federated States of Micronesia,Федеративные Штаты Микронезии,English,английский
Federation of Saint Christopher and Nevisa,Федерация Сент-Кристофер и Nevisa,English,английский
Republic of Finland,Финляндская Республика,Finnish,финский
Republic of Finland,Финляндская Республика,Swedish,шведский
Falkland Islands,Фолклендские острова,English,английский
French Polynesia,Французская Полинезия,French,французский
French Republic,Французская Республика,French,французский
Central African Republic,Центрально-Африканская Республика,French,французский
Central African Republic,Центрально-Африканская Республика,Sango,санго
Montenegro,Черногория,Montenegrin,черногорский
Czech Republic,Чешская Республика,Czech,чешский
Czech Republic,Чешская Республика,Slovak,словакский
Swiss Confederation,Швейцарская Конфедерация,French,французский
Swiss Confederation,Швейцарская Конфедерация,Italian,итальянский
Swiss Confederation,Швейцарская Конфедерация,Romansh,романшский
Swiss Confederation,Швейцарская Конфедерация,Swiss German,швейцарский диалект немецкого
Republic of Estonia,Эстонская Республика,Estonian,эстонский
South Georgia and the South Sandwich Islands,Южная Георгия и Южные Сандвичевы острова,English,английский
Republic of South Africa,Южно-Африканская Республика,Afrikaans,африкаанс
Republic of South Africa,Южно-Африканская Республика,English,английский
Republic of South Africa,Южно-Африканская Республика,Northern Sotho,северный сото
Republic of South Africa,Южно-Африканская Республика,Southern Ndebele,южный ндебеле
Republic of South Africa,Южно-Африканская Республика,Southern Sotho,сесото
Republic of South Africa,Южно-Африканская Республика,Swazi,свати
Republic of South Africa,Южно-Африканская Республика,Tsonga,тсонга
Republic of South Africa,Южно-Африканская Республика,Tswana,тсвана
Republic of South Africa,Южно-Африканская Республика,Venda,венда
Republic of South Africa,Южно-Африканская Республика,Xhosa,коса
Republic of South Africa,Южно-Африканская Республика,Zulu,зулусский
Jamaica,Ямайка,English,английский
Jamaica,Ямайка,Jamaican Patois,ямайское патуа
Japan,Япония,Japanese,японский
Hong Kong Special Administrative Region of the People's Republic of China,Hong Kong Специальный административный район Китайской Народной Республики Китая,Chinese,китайский
Hong Kong Special Administrative Region of the People's Republic of China,Hong Kong Специальный административный район Китайской Народной Республики Китая,English,английский
Sahrawi Arab Democratic Republic,Sahrawi Арабская Демократическая Республика,Berber,берберский
Sahrawi Arab Democratic Republic,Sahrawi Арабская Демократическая Республика,Hassaniya,хассания
Sahrawi Arab Democratic Republic,Sahrawi Арабская Демократическая Республика,Spanish,испанский